kicker_player_id,kicker_player_name,season,kicks_in_season,career_length,lasted_5plus
00-0012875,T.Peterson,1999,72,7,1
00-0012875,T.Peterson,2000,45,7,1
00-0012875,T.Peterson,2001,63,7,1
00-0012875,T.Peterson,2002,47,7,1
00-0012875,T.Peterson,2003,38,7,1
00-0012875,T.Peterson,2004,45,7,1
00-0012875,T.Peterson,2005,60,7,1
00-0013699,W.Richey,1999,54,4,0
00-0013699,W.Richey,2000,67,4,0
00-0013699,W.Richey,2001,58,4,0
00-0013699,W.Richey,2003,2,4,0
00-0014377,T.Sauerbrun,2004,5,1,0
00-0015194,H.Smith,2006,1,1,0
00-0015784,M.Stover,1999,61,11,1
00-0015784,M.Stover,2000,69,11,1
00-0015784,M.Stover,2001,60,11,1
00-0015784,M.Stover,2002,58,11,1
00-0015784,M.Stover,2003,73,11,1
00-0015784,M.Stover,2004,62,11,1
00-0015784,M.Stover,2005,57,11,1
00-0015784,M.Stover,2006,67,11,1
00-0015784,M.Stover,2007,58,11,1
00-0015784,M.Stover,2008,74,11,1
00-0015784,M.Stover,2009,44,11,1
00-0015791,P.Stoyanovich,1999,73,2,0
00-0015791,P.Stoyanovich,2000,29,2,0
00-0016795,M.Unutoa,1999,1,1,0
00-0016830,M.Vanderjagt,1999,81,8,1
00-0016830,M.Vanderjagt,2000,73,8,1
00-0016830,M.Vanderjagt,2001,76,8,1
00-0016830,M.Vanderjagt,2002,65,8,1
00-0016830,M.Vanderjagt,2003,83,8,1
00-0016830,M.Vanderjagt,2004,85,8,1
00-0016830,M.Vanderjagt,2005,77,8,1
00-0016830,M.Vanderjagt,2006,51,8,1
00-0016919,A.Vinatieri,1999,63,21,1
00-0016919,A.Vinatieri,2000,58,21,1
00-0016919,A.Vinatieri,2001,72,21,1
00-0016919,A.Vinatieri,2002,66,21,1
00-0016919,A.Vinatieri,2003,72,21,1
00-0016919,A.Vinatieri,2004,81,21,1
00-0016919,A.Vinatieri,2005,66,21,1
00-0016919,A.Vinatieri,2006,66,21,1
00-0016919,A.Vinatieri,2007,80,21,1
00-0016919,A.Vinatieri,2008,68,21,1
00-0016919,A.Vinatieri,2009,27,21,1
00-0016919,A.Vinatieri,2010,79,21,1
00-0016919,A.Vinatieri,2011,51,21,1
00-0016919,A.Vinatieri,2012,70,21,1
00-0016919,A.Vinatieri,2013,74,21,1
00-0016919,A.Vinatieri,2014,81,21,1
00-0016919,A.Vinatieri,2015,62,21,1
00-0016919,A.Vinatieri,2016,75,21,1
00-0016919,A.Vinatieri,2017,58,21,1
00-0016919,A.Vinatieri,2018,74,21,1
00-0016919,A.Vinatieri,2019,53,21,1
00-0017693,J.Wilkins,1999,87,9,1
00-0017693,J.Wilkins,2000,55,9,1
00-0017693,J.Wilkins,2001,87,9,1
00-0017693,J.Wilkins,2002,62,9,1
00-0017693,J.Wilkins,2003,88,9,1
00-0017693,J.Wilkins,2004,56,9,1
00-0017693,J.Wilkins,2005,67,9,1
00-0017693,J.Wilkins,2006,72,9,1
00-0017693,J.Wilkins,2007,57,9,1
00-0018949,T.Seder,2000,60,3,0
00-0018949,T.Seder,2001,29,3,0
00-0018949,T.Seder,2002,23,3,0
00-0018957,M.Simoneau,2005,2,1,0
00-0019019,M.Knorr,2003,3,1,0
00-0019081,J.Arians,2001,38,1,0
00-0019253,J.Taylor,2004,16,1,0
00-0019310,R.Lindell,2000,42,14,1
00-0019310,R.Lindell,2001,65,14,1
00-0019310,R.Lindell,2002,67,14,1
00-0019310,R.Lindell,2003,48,14,1
00-0019310,R.Lindell,2004,73,14,1
00-0019310,R.Lindell,2005,61,14,1
00-0019310,R.Lindell,2006,58,14,1
00-0019310,R.Lindell,2007,51,14,1
00-0019310,R.Lindell,2008,72,14,1
00-0019310,R.Lindell,2009,57,14,1
00-0019310,R.Lindell,2010,53,14,1
00-0019310,R.Lindell,2011,40,14,1
00-0019310,R.Lindell,2012,63,14,1
00-0019310,R.Lindell,2013,60,14,1
00-0019343,J.Hilbert,2001,28,2,0
00-0019343,J.Hilbert,2002,5,2,0
00-0019440,K.Heppner,2000,32,1,0
00-0019490,P.Edinger,2000,48,6,1
00-0019490,P.Edinger,2001,65,6,1
00-0019490,P.Edinger,2002,57,6,1
00-0019490,P.Edinger,2003,62,6,1
00-0019490,P.Edinger,2004,46,6,1
00-0019490,P.Edinger,2005,65,6,1
00-0019536,S.Graham,2001,15,15,1
00-0019536,S.Graham,2002,39,15,1
00-0019536,S.Graham,2003,65,15,1
00-0019536,S.Graham,2004,72,15,1
00-0019536,S.Graham,2005,79,15,1
00-0019536,S.Graham,2006,72,15,1
00-0019536,S.Graham,2007,71,15,1
00-0019536,S.Graham,2008,39,15,1
00-0019536,S.Graham,2009,57,15,1
00-0019536,S.Graham,2010,53,15,1
00-0019536,S.Graham,2011,15,15,1
00-0019536,S.Graham,2012,83,15,1
00-0019536,S.Graham,2013,9,15,1
00-0019536,S.Graham,2014,69,15,1
00-0019536,S.Graham,2015,21,15,1
00-0019542,J.Tuthill,2002,37,1,0
00-0019646,S.Janikowski,2000,78,18,1
00-0019646,S.Janikowski,2001,70,18,1
00-0019646,S.Janikowski,2002,83,18,1
00-0019646,S.Janikowski,2003,54,18,1
00-0019646,S.Janikowski,2004,60,18,1
00-0019646,S.Janikowski,2005,60,18,1
00-0019646,S.Janikowski,2006,41,18,1
00-0019646,S.Janikowski,2007,60,18,1
00-0019646,S.Janikowski,2008,56,18,1
00-0019646,S.Janikowski,2009,46,18,1
00-0019646,S.Janikowski,2010,84,18,1
00-0019646,S.Janikowski,2011,71,18,1
00-0019646,S.Janikowski,2012,59,18,1
00-0019646,S.Janikowski,2013,67,18,1
00-0019646,S.Janikowski,2014,50,18,1
00-0019646,S.Janikowski,2015,65,18,1
00-0019646,S.Janikowski,2016,74,18,1
00-0019646,S.Janikowski,2018,78,18,1
00-0019676,N.Rackers,2000,42,12,1
00-0019676,N.Rackers,2001,52,12,1
00-0019676,N.Rackers,2002,50,12,1
00-0019676,N.Rackers,2003,20,12,1
00-0019676,N.Rackers,2004,57,12,1
00-0019676,N.Rackers,2005,62,12,1
00-0019676,N.Rackers,2006,69,12,1
00-0019676,N.Rackers,2007,78,12,1
00-0019676,N.Rackers,2008,72,12,1
00-0019676,N.Rackers,2009,55,12,1
00-0019676,N.Rackers,2010,73,12,1
00-0019676,N.Rackers,2011,78,12,1
00-0019714,S.Lechler,2000,8,1,0
00-0019766,C.Oglesby,2001,13,1,0
00-0019770,J.Feely,2001,65,14,1
00-0019770,J.Feely,2002,83,14,1
00-0019770,J.Feely,2003,60,14,1
00-0019770,J.Feely,2004,63,14,1
00-0019770,J.Feely,2005,85,14,1
00-0019770,J.Feely,2006,65,14,1
00-0019770,J.Feely,2007,49,14,1
00-0019770,J.Feely,2008,67,14,1
00-0019770,J.Feely,2009,68,14,1
00-0019770,J.Feely,2010,56,14,1
00-0019770,J.Feely,2011,57,14,1
00-0019770,J.Feely,2012,53,14,1
00-0019770,J.Feely,2013,73,14,1
00-0019770,J.Feely,2014,10,14,1
00-0019778,L.Tynes,2004,83,9,1
00-0019778,L.Tynes,2005,78,9,1
00-0019778,L.Tynes,2006,67,9,1
00-0019778,L.Tynes,2007,69,9,1
00-0019778,L.Tynes,2008,4,9,1
00-0019778,L.Tynes,2009,77,9,1
00-0019778,L.Tynes,2010,66,9,1
00-0019778,L.Tynes,2011,67,9,1
00-0019778,L.Tynes,2012,85,9,1
00-0020296,B.Gramatica,2001,45,4,0
00-0020296,B.Gramatica,2002,50,4,0
00-0020296,B.Gramatica,2003,10,4,0
00-0020296,B.Gramatica,2004,4,4,0
00-0020379,O.Pochman,2001,2,2,0
00-0020379,O.Pochman,2003,25,2,0
00-0020577,D.Boyd,2002,12,1,0
00-0020578,M.Bryant,2002,64,18,1
00-0020578,M.Bryant,2003,31,18,1
00-0020578,M.Bryant,2004,16,18,1
00-0020578,M.Bryant,2005,56,18,1
00-0020578,M.Bryant,2006,45,18,1
00-0020578,M.Bryant,2007,67,18,1
00-0020578,M.Bryant,2008,74,18,1
00-0020578,M.Bryant,2009,20,18,1
00-0020578,M.Bryant,2010,75,18,1
00-0020578,M.Bryant,2011,74,18,1
00-0020578,M.Bryant,2012,82,18,1
00-0020578,M.Bryant,2013,66,18,1
00-0020578,M.Bryant,2014,72,18,1
00-0020578,M.Bryant,2015,44,18,1
00-0020578,M.Bryant,2016,94,18,1
00-0020578,M.Bryant,2017,74,18,1
00-0020578,M.Bryant,2018,56,18,1
00-0020578,M.Bryant,2019,29,18,1
00-0020677,T.France,2005,15,1,0
00-0020685,J.Jenkins,2002,1,1,0
00-0020737,J.Reed,2002,30,9,1
00-0020737,J.Reed,2003,64,9,1
00-0020737,J.Reed,2004,66,9,1
00-0020737,Je.Reed,2004,7,9,1
00-0020737,J.Reed,2005,74,9,1
00-0020737,J.Reed,2006,68,9,1
00-0020737,J.Reed,2007,69,9,1
00-0020737,Je.Reed,2008,68,9,1
00-0020737,J.Reed,2009,72,9,1
00-0020737,J.Reed,2010,64,9,1
00-0020962,R.Bironas,2005,61,9,1
00-0020962,R.Bironas,2006,60,9,1
00-0020962,R.Bironas,2007,67,9,1
00-0020962,R.Bironas,2008,73,9,1
00-0020962,R.Bironas,2009,69,9,1
00-0020962,R.Bironas,2010,64,9,1
00-0020962,R.Bironas,2011,66,9,1
00-0020962,R.Bironas,2012,66,9,1
00-0020962,R.Bironas,2013,70,9,1
00-0020972,B.Cundiff,2002,44,11,1
00-0020972,B.Cundiff,2003,60,11,1
00-0020972,B.Cundiff,2004,57,11,1
00-0020972,B.Cundiff,2005,22,11,1
00-0020972,B.Cundiff,2006,1,11,1
00-0020972,B.Cundiff,2009,46,11,1
00-0020972,B.Cundiff,2010,68,11,1
00-0020972,B.Cundiff,2011,75,11,1
00-0020972,B.Cundiff,2012,29,11,1
00-0020972,B.Cundiff,2013,58,11,1
00-0020972,B.Cundiff,2014,57,11,1
00-0021052,T.Duncan,2003,16,1,0
00-0021080,A.Elling,2003,73,3,0
00-0021080,A.Elling,2004,4,3,0
00-0021080,A.Elling,2005,1,3,0
00-0021226,J.Chandler,2002,26,3,0
00-0021226,J.Chandler,2003,15,3,0
00-0021226,J.Chandler,2004,22,3,0
00-0021347,H.Epstein,2002,22,1,0
00-0021389,O.Kimrin,2004,16,1,0
00-0021462,S.Marler,2003,63,1,0
00-0021940,J.Brown,2003,78,14,1
00-0021940,J.Brown,2004,65,14,1
00-0021940,J.Brown,2005,82,14,1
00-0021940,J.Brown,2006,67,14,1
00-0021940,J.Brown,2007,77,14,1
00-0021940,J.Brown,2008,55,14,1
00-0021940,Josh.Brown,2009,40,14,1
00-0021940,Josh.Brown,2010,66,14,1
00-0021940,Josh.Brown,2011,46,14,1
00-0021940,J.Brown,2012,20,14,1
00-0021940,J.Brown,2013,57,14,1
00-0021940,J.Brown,2014,70,14,1
00-0021940,J.Brown,2015,77,14,1
00-0021940,J.Brown,2016,21,14,1
00-0022017,M.Scifres,2011,4,1,0
00-0022170,R.Hamilton,2005,1,1,0
00-0022427,W.Welker,2004,2,2,0
00-0022427,W.Welker,2010,1,2,0
00-0022589,K.Larson,2007,1,1,0
00-0022737,N.Kaeding,2004,80,8,1
00-0022737,N.Kaeding,2005,73,8,1
00-0022737,N.Kaeding,2006,87,8,1
00-0022737,N.Kaeding,2007,73,8,1
00-0022737,N.Kaeding,2008,78,8,1
00-0022737,N.Kaeding,2009,86,8,1
00-0022737,N.Kaeding,2010,68,8,1
00-0022737,N.Kaeding,2012,19,8,1
00-0022874,J.Scobee,2004,52,12,1
00-0022874,J.Scobee,2005,69,12,1
00-0022874,J.Scobee,2006,73,12,1
00-0022874,J.Scobee,2007,40,12,1
00-0022874,J.Scobee,2008,58,12,1
00-0022874,J.Scobee,2009,59,12,1
00-0022874,J.Scobee,2010,69,12,1
00-0022874,J.Scobee,2011,49,12,1
00-0022874,J.Scobee,2012,47,12,1
00-0022874,J.Scobee,2013,48,12,1
00-0022874,J.Scobee,2014,49,12,1
00-0022874,J.Scobee,2015,17,12,1
00-0023001,S.Suisham,2005,12,10,1
00-0023001,S.Suisham,2006,25,10,1
00-0023001,S.Suisham,2007,65,10,1
00-0023001,S.Suisham,2008,61,10,1
00-0023001,S.Suisham,2009,50,10,1
00-0023001,S.Suisham,2010,34,10,1
00-0023001,S.Suisham,2011,67,10,1
00-0023001,S.Suisham,2012,65,10,1
00-0023001,S.Suisham,2013,71,10,1
00-0023001,S.Suisham,2014,77,10,1
00-0023096,N.Novak,2005,25,10,1
00-0023096,N.Novak,2006,20,10,1
00-0023096,N.Novak,2008,17,10,1
00-0023096,N.Novak,2011,76,10,1
00-0023096,N.Novak,2012,53,10,1
00-0023096,N.Novak,2013,79,10,1
00-0023096,N.Novak,2014,66,10,1
00-0023096,N.Novak,2015,52,10,1
00-0023096,N.Novak,2016,66,10,1
00-0023096,N.Novak,2017,31,10,1
00-0023234,M.Koenen,2005,2,3,0
00-0023234,M.Koenen,2006,13,3,0
00-0023234,M.Koenen,2007,2,3,0
00-0023252,R.Gould,2005,47,18,1
00-0023252,R.Gould,2006,83,18,1
00-0023252,R.Gould,2007,69,18,1
00-0023252,R.Gould,2008,70,18,1
00-0023252,R.Gould,2009,61,18,1
00-0023252,R.Gould,2010,65,18,1
00-0023252,R.Gould,2011,69,18,1
00-0023252,R.Gould,2012,58,18,1
00-0023252,R.Gould,2013,75,18,1
00-0023252,R.Gould,2014,41,18,1
00-0023252,R.Gould,2015,68,18,1
00-0023252,R.Gould,2016,33,18,1
00-0023252,R.Gould,2017,71,18,1
00-0023252,R.Gould,2018,63,18,1
00-0023252,R.Gould,2019,73,18,1
00-0023252,R.Gould,2020,61,18,1
00-0023252,R.Gould,2021,63,18,1
00-0023252,R.Gould,2022,83,18,1
00-0023482,M.Nugent,2005,52,16,1
00-0023482,M.Nugent,2006,62,16,1
00-0023482,M.Nugent,2007,60,16,1
00-0023482,M.Nugent,2008,3,16,1
00-0023482,M.Nugent,2009,22,16,1
00-0023482,M.Nugent,2010,36,16,1
00-0023482,M.Nugent,2011,72,16,1
00-0023482,M.Nugent,2012,58,16,1
00-0023482,M.Nugent,2013,75,16,1
00-0023482,M.Nugent,2014,72,16,1
00-0023482,M.Nugent,2015,77,16,1
00-0023482,M.Nugent,2016,58,16,1
00-0023482,M.Nugent,2017,30,16,1
00-0023482,M.Nugent,2018,11,16,1
00-0023482,M.Nugent,2019,24,16,1
00-0023482,M.Nugent,2020,15,16,1
00-0023635,D.Rayner,2005,1,6,1
00-0023635,D.Rayner,2006,67,6,1
00-0023635,D.Rayner,2007,36,6,1
00-0023635,D.Rayner,2008,4,6,1
00-0023635,D.Rayner,2010,32,6,1
00-0023635,D.Rayner,2011,28,6,1
00-0023728,S.Andrus,2009,11,2,0
00-0023728,S.Andrus,2010,7,2,0
00-0023853,M.Prater,2007,5,18,1
00-0023853,M.Prater,2008,74,18,1
00-0023853,M.Prater,2009,67,18,1
00-0023853,M.Prater,2010,47,18,1
00-0023853,M.Prater,2011,55,18,1
00-0023853,M.Prater,2012,87,18,1
00-0023853,M.Prater,2013,101,18,1
00-0023853,M.Prater,2014,47,18,1
00-0023853,M.Prater,2015,63,18,1
00-0023853,M.Prater,2016,69,18,1
00-0023853,M.Prater,2017,76,18,1
00-0023853,M.Prater,2018,62,18,1
00-0023853,M.Prater,2019,67,18,1
00-0023853,M.Prater,2020,69,18,1
00-0023853,M.Prater,2021,86,18,1
00-0023853,M.Prater,2022,43,18,1
00-0023853,M.Prater,2023,56,18,1
00-0023853,M.Prater,2024,16,18,1
00-0024333,S.Gostkowski,2006,70,15,1
00-0024333,S.Gostkowski,2007,98,15,1
00-0024333,S.Gostkowski,2008,80,15,1
00-0024333,S.Gostkowski,2009,78,15,1
00-0024333,S.Gostkowski,2010,39,15,1
00-0024333,S.Gostkowski,2011,92,15,1
00-0024333,S.Gostkowski,2012,101,15,1
00-0024333,S.Gostkowski,2013,85,15,1
00-0024333,S.Gostkowski,2014,88,15,1
00-0024333,S.Gostkowski,2015,88,15,1
00-0024333,S.Gostkowski,2016,81,15,1
00-0024333,S.Gostkowski,2017,87,15,1
00-0024333,S.Gostkowski,2018,82,15,1
00-0024333,S.Gostkowski,2019,23,15,1
00-0024333,S.Gostkowski,2020,74,15,1
00-0025547,J.Medlock,2007,2,2,0
00-0025547,J.Medlock,2012,33,2,0
00-0025565,N.Folk,2007,84,17,1
00-0025565,N.Folk,2008,64,17,1
00-0025565,N.Folk,2009,64,17,1
00-0025565,N.Folk,2010,76,17,1
00-0025565,N.Folk,2011,69,17,1
00-0025565,N.Folk,2012,57,17,1
00-0025565,N.Folk,2013,63,17,1
00-0025565,N.Folk,2014,62,17,1
00-0025565,N.Folk,2015,35,17,1
00-0025565,N.Folk,2016,57,17,1
00-0025565,N.Folk,2017,20,17,1
00-0025565,N.Folk,2019,29,17,1
00-0025565,N.Folk,2020,61,17,1
00-0025565,N.Folk,2021,86,17,1
00-0025565,N.Folk,2022,72,17,1
00-0025565,N.Folk,2023,60,17,1
00-0025565,N.Folk,2024,47,17,1
00-0025580,M.Crosby,2007,87,17,1
00-0025580,M.Crosby,2008,80,17,1
00-0025580,M.Crosby,2009,85,17,1
00-0025580,M.Crosby,2010,74,17,1
00-0025580,M.Crosby,2011,97,17,1
00-0025580,M.Crosby,2012,83,17,1
00-0025580,M.Crosby,2013,79,17,1
00-0025580,M.Crosby,2014,88,17,1
00-0025580,M.Crosby,2015,64,17,1
00-0025580,M.Crosby,2016,77,17,1
00-0025580,M.Crosby,2017,54,17,1
00-0025580,M.Crosby,2018,73,17,1
00-0025580,M.Crosby,2019,65,17,1
00-0025580,M.Crosby,2020,79,17,1
00-0025580,M.Crosby,2021,85,17,1
00-0025580,M.Crosby,2022,68,17,1
00-0025580,M.Crosby,2023,14,17,1
00-0025681,R.Schmitt,2009,5,1,0
00-0025824,G.Hartley,2008,41,6,1
00-0025824,G.Hartley,2009,22,6,1
